STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
01,001,020100,1912,+32.475973,-086.486772
01,001,020200,2170,+32.471763,-086.472782
01,001,020300,3373,+32.474011,-086.459639
01,001,020400,4386,+32.468685,-086.443021
01,001,020500,10766,+32.465330,-086.423696
01,001,020600,3668,+32.442560,-086.477609
01,001,020700,2891,+32.444477,-086.447699
01,001,020801,3081,+32.443487,-086.522529
01,001,020802,10435,+32.529016,-086.480528
01,001,020900,5675,+32.634754,-086.504589
01,001,021000,2894,+32.608121,-086.728917
01,001,021100,3320,+32.467356,-086.696724
01,003,010100,3804,+31.055573,-087.774011
